# Stars — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with HYG Database CSV (github.com/astronexus/HYG-Database)
# Stars from HYG Database — id,name,ra_hours,dec_degrees,magnitude,type
HIP465,HIP 465,0.09273,76.285818,8.78,star
HIP466,HIP 466,0.093034,53.171694,7.23,star
HIP467,HIP 467,0.093108,-47.569351,9.73,star
HIP468,HIP 468,0.093265,-61.309873,7.36,star
HIP469,HIP 469,0.093404,-51.260491,7.36,star
HIP470,HIP 470,0.0936,43.401421,8.47,star
HIP471,HIP 471,0.094127,-58.28954,9.37,star
HIP472,HIP 472,0.094368,55.709898,6.99,star
HIP473,HIP 473,0.094664,45.812081,8.2,star
HIP474,HIP 474,0.09468,44.468676,8.36,star
HIP475,HIP 475,0.0949,58.313259,8.22,star
HIP476,86    Peg,0.094989,13.396266,5.55,star
HIP477,HIP 477,0.095266,-29.960635,9.91,star
HIP478,HIP 478,0.095291,-22.509776,9.67,star
HIP480,HIP 480,0.095343,-15.365483,8.6,star
HIP479,HIP 479,0.095346,25.61517,10.07,star
HIP481,HIP 481,0.095571,-36.778639,10.15,star
HIP482,HIP 482,0.095679,17.84029,7.75,star
HIP483,HIP 483,0.095939,81.071471,9.21,star
HIP484,HIP 484,0.096109,-19.670247,9.66,star
HIP485,HIP 485,0.09652,47.087292,8.47,star
HIP486,HIP 486,0.097139,-52.820063,9.37,star
HIP487,HIP 487,0.097511,78.738515,9.44,star
HIP488,HIP 488,0.097494,-68.551373,9.99,star
