# Deep-sky objects — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with OpenNGC CSV (github.com/mattiaverga/OpenNGC)
# Type codes: oc=open cluster  gc=globular cluster  neb=nebula  gal=galaxy  pn=planetary nebula
#
# DSOs from OpenNGC — id,name,ra_hours,dec_degrees,magnitude,type
NGC1688,NGC 1688,4.806608,-59.800333,11.85,gal
NGC1700,NGC 1700,4.948975,-4.865778,11.16,gal
NGC1703,NGC 1703,4.881153,-59.742250,11.69,gal
NGC1714,NGC 1714,4.869125,-66.923389,11.61,oc
NGC1726,NGC 1726,4.994972,-7.755250,11.65,gal
NGC1743,NGC 1743,4.900742,-69.198611,11.26,neb
NGC1744,NGC 1744,4.999389,-26.022222,11.5,gal
NGC1763,NGC 1763,4.946997,-66.409083,9.4,oc
NGC1784,NGC 1784,5.090861,-11.871528,11.6,gal
NGC1788,NGC 1788,5.114783,-3.340972,5.8,neb
NGC1792,NGC 1792,5.087347,-37.980750,10.16,gal
NGC1808,NGC 1808,5.128428,-37.513056,10.21,gal
NGC1832,NGC 1832,5.200925,-15.687806,11.54,gal
NGC1858,NGC 1858,5.164428,-68.891250,9.88,oc
NGC1871,NGC 1871,5.231044,-67.452639,10.09,oc
NGC1873,NGC 1873,5.232131,-67.334361,10.44,oc
NGC1876,NGC 1876,5.221842,-69.362139,11.71,oc
NGC1877,NGC 1877,5.227456,-69.383778,12.0,neb
NGC1888,NGC 1888,5.376236,-11.499528,11.92,gal
NGC1910,NGC 1910,5.311964,-69.231917,9.65,oc
NGC1923,NGC 1923,5.359461,-65.486722,11.24,oc
NGC1931,NGC 1931,5.523708,34.246556,10.1,oc
NGC1934,NGC 1934,5.363303,-67.937167,10.5,oc
NGC1936,NGC 1936,5.370544,-67.978306,11.6,neb
NGC1941,NGC 1941,5.385472,-66.378639,12.0,oc
NGC1947,NGC 1947,5.446558,-63.760028,10.47,gal
NGC1948,NGC 1948,5.429511,-66.266806,10.61,oc
NGC1952,Crab Nebula,5.575547,22.014472,8.4,neb
NGC1955,NGC 1955,5.436100,-67.497389,8.87,neb
NGC1961,NGC 1961,5.701292,69.378444,11.54,gal
NGC1964,NGC 1964,5.556044,-21.945778,10.91,gal
NGC1973,NGC 1973,5.584661,-4.731778,7.0,neb
NGC1975,NGC 1975,5.588300,-4.685222,7.0,neb
NGC1976,Great Orion Nebula,5.587911,-5.389667,4.0,oc
NGC1980,Lower Sword,5.590553,-5.909889,2.5,oc
NGC1981,Upper Sword,5.585997,-4.425056,4.2,oc
NGC1982,Mairan's Nebula,5.592050,-5.267472,9.0,neb
NGC1999,NGC 1999,5.607042,-6.715861,9.5,neb
NGC2014,NGC 2014,5.538853,-67.689833,8.97,neb
NGC2018,NGC 2018,5.523581,-71.069056,10.89,neb
NGC2022,NGC 2022,5.701725,9.086528,11.6,pn
NGC2035,NGC 2035,5.592000,-67.584167,10.99,neb
NGC2040,NGC 2040,5.601647,-67.568556,11.47,neb
NGC2060,NGC 2060,5.629694,-69.171667,9.59,neb
NGC2068,M078 / NGC 2068,5.779394,0.079306,8.0,neb
NGC2069,NGC 2069,5.646233,-68.974389,10.1,neb
NGC2070,30 Dor Cluster,5.645100,-69.100889,7.25,neb
NGC2071,NGC 2071,5.785350,0.294250,8.0,oc
NGC2074,NGC 2074,5.650994,-69.498111,8.5,oc
NGC2075,NGC 2075,5.639264,-70.685028,11.47,oc
NGC2077,NGC 2077,5.660006,-69.657111,11.71,neb
NGC2078,NGC 2078,5.660958,-69.743167,10.89,neb
NGC2079,NGC 2079,5.660444,-69.757194,11.81,neb
NGC2080,NGC 2080,5.662728,-69.644111,10.42,neb
NGC2083,NGC 2083,5.666450,-69.737583,10.83,neb
NGC2086,NGC 2086,5.670244,-69.667861,12.0,neb
NGC2090,NGC 2090,5.783858,-34.250611,10.92,gal
NGC2103,NGC 2103,5.694542,-71.333139,10.82,neb
NGC2122,NGC 2122,5.814586,-70.070083,10.43,oc
NGC2139,NGC 2139,6.018836,-23.672639,11.66,gal
NGC2146,NGC 2146,6.310475,78.357028,10.69,gal
NGC2175,NGC 2175,6.160986,20.487583,6.8,oc
